n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
243,relu,,0.091,6,705,tanh,0.113,924,swish,0.28400000000000003,0.0015,RMSprop,11,0.9990386366844177,,45,,,157.0,tanh,0.251,753.0,selu,0.098,,195.0,leaky_relu,0.03,0.28800000000000003,,,,,,,,,
155,selu,,0.298,3,628,leaky_relu,0.40800000000000003,745,swish,0.151,0.0041,Adam,147,0.9986048340797424,,46,0.29000000000000004,,,,,,,,,,,,,,,,,,,,,
204,selu,,0.47400000000000003,8,548,selu,0.004,129,selu,0.402,0.0027,RMSprop,209,0.998440682888031,,47,,,83.0,swish,0.447,962.0,elu,0.002,,566.0,leaky_relu,0.17,0.198,289.0,relu,0.006,986.0,leaky_relu,0.004,,,0.14
101,elu,,0.437,5,307,tanh,0.07100000000000001,841,relu,0.361,0.0006000000000000001,Adam,83,0.9993786215782166,,48,,,221.0,tanh,0.34800000000000003,494.0,relu,0.047,,,,,,,,,,,,,,
215,selu,,0.034,4,927,leaky_relu,0.376,777,leaky_relu,0.47700000000000004,0.005200000000000001,Adam,50,0.5648289845846346,,49,0.2,0.18000000000000002,154.0,selu,0.313,,,,,,,,,,,,,,,,,
178,relu,,0.10400000000000001,6,458,swish,0.20400000000000001,577,tanh,0.429,0.0021,RMSprop,36,0.9991441369056702,,50,,,584.0,elu,0.309,853.0,leaky_relu,0.42,,419.0,swish,,0.094,,,,,,,0.2,,
194,elu,,0.405,7,757,tanh,0.154,29,swish,0.259,0.005900000000000001,Adam,230,0.9791427254676819,,51,,,150.0,tanh,0.465,623.0,swish,0.32,,695.0,leaky_relu,0.29000000000000004,0.341,833.0,tanh,0.28200000000000003,,,,,,
242,tanh,,0.308,6,652,relu,0.077,515,elu,0.463,0.001,RMSprop,387,0.9984055161476135,,52,,,445.0,leaky_relu,0.23,682.0,leaky_relu,0.364,0.22,96.0,swish,,0.404,,,,,,,0.09999999999999999,,
236,tanh,,0.276,6,703,relu,0.027,507,elu,0.47000000000000003,0.0005,RMSprop,491,0.6051080681483116,,53,,,505.0,leaky_relu,0.261,734.0,leaky_relu,0.388,0.16,211.0,swish,,0.41000000000000003,,,,,,,0.060000000000000005,,
240,tanh,,0.234,6,715,relu,0.028,417,elu,0.47300000000000003,0.0004,RMSprop,454,0.9991676211357117,,54,,,613.0,leaky_relu,0.199,328.0,leaky_relu,0.443,0.09999999999999999,304.0,swish,,0.401,,,,,,,0.05,,
214,tanh,,0.279,5,818,relu,0.047,683,elu,0.386,0.0014000000000000002,RMSprop,293,0.9994021058082581,,55,,,844.0,leaky_relu,0.265,553.0,leaky_relu,0.34900000000000003,0.15000000000000002,,,,,,,,,,,0.12,,
245,swish,,0.076,5,799,elu,0.493,342,selu,0.011,0.0019000000000000002,RMSprop,503,0.9993551969528198,,56,,,303.0,selu,0.19,185.0,tanh,0.114,,,,,,,,,,,,,,
201,leaky_relu,0.2,0.322,7,549,relu,0.121,356,leaky_relu,0.428,0.0098,RMSprop,196,0.9916641712188721,,57,,0.04,491.0,relu,0.5,940.0,selu,0.47100000000000003,,191.0,swish,,0.272,169.0,leaky_relu,0.417,,,,,0.29000000000000004,
161,swish,,0.248,6,26,leaky_relu,0.307,298,elu,0.336,0.0005,RMSprop,502,0.9992144703865051,,58,0.16,,302.0,selu,0.146,1022.0,elu,0.497,,470.0,relu,,0.428,,,,,,,,,
